Technology,Delay_Years,10.0%,4.0%,5.5%,7.0%,8.5%
20-yr LTO,0.0,1321.499148694391,1248.2399769275137,1266.4536687143354,1284.734789752344,1303.0832993327786
20-yr LTO,1.0,1408.1643087111975,1292.2680912163266,1320.7341773251999,1349.5380476873765,1378.6809959590216
20-yr LTO,2.0,1500.7045439806457,1337.6354591505258,1377.190876014741,1417.5477803343128,1458.7157863453883
20-yr LTO,3.0,1599.5863148230958,1384.3898907730613,1435.9263890391392,1488.9505172681575,1543.4933410464546
20-yr LTO,4.0,1599.5863148230958,1384.3898907730613,1435.9263890391392,1488.9505172681575,1543.4933410464546
20-yr LTO,5.0,1599.5863148230958,1384.3898907730613,1435.9263890391392,1488.9505172681575,1543.4933410464546
20-yr LTO,6.0,1599.5863148230958,1384.3898907730613,1435.9263890391392,1488.9505172681575,1543.4933410464546
20-yr LTO,7.0,1599.5863148230958,1384.3898907730613,1435.9263890391392,1488.9505172681575,1543.4933410464546
20-yr LTO,8.0,1599.5863148230958,1384.3898907730613,1435.9263890391392,1488.9505172681575,1543.4933410464546
20-yr LTO,9.0,1599.5863148230958,1384.3898907730613,1435.9263890391392,1488.9505172681575,1543.4933410464546
20-yr LTO,10.0,1599.5863148230958,1384.3898907730613,1435.9263890391392,1488.9505172681575,1543.4933410464546
Gen-III+,0.0,10571.342328060517,8617.65073840069,9073.38868757708,9550.351664516864,10049.380434844767
Gen-III+,1.0,11285.505724507351,8924.421859813685,9467.823798515594,10041.467489875678,10646.843830899588
Gen-III+,2.0,12049.809356467867,9240.687114992263,9878.426077407663,10557.539655178209,11280.475816478149
Gen-III+,3.0,12867.965431085395,9566.743576847803,10305.877212474597,11099.887645888011,11952.572429759653
Gen-III+,4.0,13743.97338144693,9902.897895544495,10750.888664293345,11669.90349117918,12665.581709648892
Gen-III+,5.0,14682.142803084165,10249.466607016137,11214.202988033236,12269.055851618336,13422.114053602796
Gen-III+,6.0,15687.11825648766,10606.77645054332,11696.59521320221,12898.894337781248,14224.953290562124
Gen-III+,7.0,16763.906115408787,10975.164698580127,12198.874289423498,13561.054083559307,15077.068535987346
Gen-III+,8.0,17917.90363554323,11354.979499378287,12721.88460171891,14257.260590107679,15981.626886655933
Gen-III+,9.0,19154.93042865764,11746.580232462991,13266.50755787943,14989.334855478566,16942.007014095398
Gen-III+,10.0,20481.26254255942,12150.337877016966,13833.663250592605,15759.198805775355,17961.813719559137
SMR,0.0,10927.460271703729,9740.064022940722,10028.088903019958,10321.949856803249,10621.716890864478
SMR,1.0,11652.488824488819,10084.849802401844,10460.277164172678,10846.54144756349,11243.868955709222
SMR,2.0,12427.600880166692,10440.22966760326,10910.012051378098,11397.477636381418,11903.159127276695
SMR,3.0,13256.463279387888,10806.534025954466,11378.029414221659,11976.140987304147,12601.923065295337
SMR,4.0,14143.018011402319,11184.103059786215,11865.095440110184,12583.986844455041,13342.645667885987
SMR,5.0,15091.50880567335,11573.287745961185,12372.009359083384,13222.549665223196,14127.974566268753
SMR,6.0,16106.506013262871,11974.450333509018,12899.605161642849,13893.447885953607,14960.731806818783
SMR,7.0,17192.93273943267,12387.96472593585,13448.753178163184,14598.388706890186,15843.925799051352
SMR,8.0,18356.09295566988,12814.216855655526,14020.36168922481,15339.173083325626,16780.76398887643
SMR,9.0,19601.70189480385,13253.605069394493,14615.3786058545,16117.700998218399,17774.666405271204
SMR,10.0,20935.91894956029,13706.540528543504,15234.793230230247,16935.97704553108,18829.280162590527
