Technology,Delay_Years,10.0%,4.0%,5.5%,7.0%,8.5%
20-yr LTO,0.0,48.977007002804434,40.46571076181759,42.363147262731516,44.417120011935296,46.62343297203933
20-yr LTO,1.0,50.34413796928667,40.90079882427256,42.97316023540309,45.238630771293685,47.696288500067354
20-yr LTO,2.0,51.80394743894991,41.34912145929825,43.60762957764388,46.10079000357423,48.83211367904204
20-yr LTO,3.0,53.36379375912169,41.8111511281683,44.26770859713619,47.00596234379201,50.035246476373366
20-yr LTO,4.0,53.36379375912169,41.8111511281683,44.26770859713619,47.00596234379201,50.035246476373366
20-yr LTO,5.0,53.36379375912169,41.8111511281683,44.26770859713619,47.00596234379201,50.035246476373366
20-yr LTO,6.0,53.36379375912169,41.8111511281683,44.26770859713619,47.00596234379201,50.035246476373366
20-yr LTO,7.0,53.36379375912169,41.8111511281683,44.26770859713619,47.00596234379201,50.035246476373366
20-yr LTO,8.0,53.36379375912169,41.8111511281683,44.26770859713619,47.00596234379201,50.035246476373366
20-yr LTO,9.0,53.36379375912169,41.8111511281683,44.26770859713619,47.00596234379201,50.035246476373366
20-yr LTO,10.0,53.36379375912169,41.8111511281683,44.26770859713619,47.00596234379201,50.035246476373366
Gen-III+,0.0,162.354709893772,74.18255283122335,92.2208013372249,113.01454860890901,136.41318736902844
Gen-III+,1.0,171.64949806733077,75.94156196325336,95.15302427663565,117.55245332444336,143.05071820617715
Gen-III+,2.0,181.5968580058256,77.75500994831967,98.2054336280165,122.32095434102405,150.09006466899473
Gen-III+,3.0,192.2451038334825,79.62460018653888,101.38309704833966,127.33224368952848,157.556734636823
Gen-III+,4.0,203.64628790070597,81.55209099348082,104.6913035216899,132.59918370390542,165.47792464392393
Gen-III+,5.0,215.85649930108463,83.5392973691872,108.13557318874666,138.13534479131067,173.88263494994862
Gen-III+,6.0,228.93618667443081,85.5880928191422,111.72166760379066,143.95504533607624,182.80179255488002
Gen-III+,7.0,242.95050763560997,87.700411245481,115.45560048257965,150.07339395701086,192.26838290277726
Gen-III+,8.0,257.969707101485,89.87824891157831,119.34364896693492,156.50633426542655,202.3175909148648
Gen-III+,9.0,274.0695269245402,92.12366648032757,123.39236542522332,163.2706922628923,212.9869520060326
Gen-III+,10.0,291.33164944137695,94.43879112643545,127.60858980858,170.38422652503763,224.31651378361394
SMR,0.0,173.17108868056124,92.05163198970455,109.28543271160322,128.65117401611104,149.99406418220102
SMR,1.0,182.78879769383192,94.31135862002529,112.7793774022781,133.75562133388593,157.127087129104
SMR,2.0,193.07087855195996,96.6405189076989,116.4151744902684,139.116410185269,164.68590142578554
SMR,3.0,204.06597293428263,99.04127834349259,120.19877281311385,144.74699336947816,172.69728559695128
SMR,4.0,215.82637244420425,101.51586648302545,124.1363664687638,150.66153185961673,181.18972919735515
SMR,5.0,228.4083713544855,104.06658362929849,128.2344166821169,156.87495642667292,190.19358752968785
SMR,6.0,241.87259666586013,106.69580396311576,132.49966569248647,163.40301498427274,199.74121558027593
SMR,7.0,256.28435476339075,109.40597804874153,136.9391495220528,170.2623191477364,209.8671050036822
SMR,8.0,271.71400433044505,112.19963528792329,141.56021099429537,177.47039279959492,220.60802942257797
SMR,9.0,288.23735954852623,115.07938644583601,146.37051331758178,185.04572339387343,232.00319974142184
SMR,10.0,305.9361265059072,118.04792627498807,151.37805431925483,193.0078162837948,244.09443041660336
