Technology,Delay_Years,Total_Duration_Years,WACC,WACC_Pct,Capex_Overnight_kW,Capex_Total_kW,IDC_kW,IDC_Multiplier
Gen-III+,0.0,7.0,0.04,4.0%,7500.0,8617.65073840069,1117.650738400691,1.1490200984534253
Gen-III+,0.0,7.0,0.055,5.5%,7500.0,9073.38868757708,1573.3886875770804,1.2097851583436108
Gen-III+,0.0,7.0,0.07,7.0%,7500.0,9550.351664516864,2050.351664516864,1.2733802219355819
Gen-III+,0.0,7.0,0.085,8.5%,7500.0,10049.380434844767,2549.3804348447666,1.3399173913126357
Gen-III+,0.0,7.0,0.1,10.0%,7500.0,10571.342328060517,3071.3423280605166,1.409512310408069
Gen-III+,1.0,8.0,0.04,4.0%,7500.0,8924.421859813685,1424.421859813685,1.1899229146418246
Gen-III+,1.0,8.0,0.055,5.5%,7500.0,9467.823798515594,1967.8237985155938,1.2623765064687458
Gen-III+,1.0,8.0,0.07,7.0%,7500.0,10041.467489875678,2541.4674898756784,1.3388623319834239
Gen-III+,1.0,8.0,0.085,8.5%,7500.0,10646.843830899588,3146.8438308995883,1.4195791774532784
Gen-III+,1.0,8.0,0.1,10.0%,7500.0,11285.505724507351,3785.5057245073513,1.5047340966009801
Gen-III+,2.0,9.0,0.04,4.0%,7500.0,9240.687114992263,1740.6871149922627,1.2320916153323016
Gen-III+,2.0,9.0,0.055,5.5%,7500.0,9878.426077407663,2378.426077407663,1.3171234769876883
Gen-III+,2.0,9.0,0.07,7.0%,7500.0,10557.539655178209,3057.5396551782087,1.4076719540237612
Gen-III+,2.0,9.0,0.085,8.5%,7500.0,11280.475816478149,3780.4758164781488,1.5040634421970864
Gen-III+,2.0,9.0,0.1,10.0%,7500.0,12049.809356467867,4549.8093564678675,1.606641247529049
Gen-III+,3.0,10.0,0.04,4.0%,7500.0,9566.743576847803,2066.7435768478026,1.2755658102463736
Gen-III+,3.0,10.0,0.055,5.5%,7500.0,10305.877212474597,2805.8772124745974,1.3741169616632796
Gen-III+,3.0,10.0,0.07,7.0%,7500.0,11099.887645888011,3599.8876458880113,1.4799850194517348
Gen-III+,3.0,10.0,0.085,8.5%,7500.0,11952.572429759653,4452.5724297596535,1.593676323967954
Gen-III+,3.0,10.0,0.1,10.0%,7500.0,12867.965431085395,5367.965431085395,1.7157287241447192
Gen-III+,4.0,11.0,0.04,4.0%,7500.0,9902.897895544495,2402.8978955444945,1.3203863860725993
Gen-III+,4.0,11.0,0.055,5.5%,7500.0,10750.888664293345,3250.888664293345,1.4334518219057792
Gen-III+,4.0,11.0,0.07,7.0%,7500.0,11669.90349117918,4169.9034911791805,1.555987132157224
Gen-III+,4.0,11.0,0.085,8.5%,7500.0,12665.581709648892,5165.581709648892,1.6887442279531855
Gen-III+,4.0,11.0,0.1,10.0%,7500.0,13743.97338144693,6243.973381446929,1.8325297841929238
Gen-III+,5.0,12.0,0.04,4.0%,7500.0,10249.466607016137,2749.4666070161365,1.3665955476021516
Gen-III+,5.0,12.0,0.055,5.5%,7500.0,11214.202988033236,3714.2029880332357,1.4952270650710981
Gen-III+,5.0,12.0,0.07,7.0%,7500.0,12269.055851618336,4769.0558516183355,1.6358741135491115
Gen-III+,5.0,12.0,0.085,8.5%,7500.0,13422.114053602796,5922.114053602796,1.7896152071470395
Gen-III+,5.0,12.0,0.1,10.0%,7500.0,14682.142803084165,7182.142803084165,1.9576190404112221
Gen-III+,6.0,13.0,0.04,4.0%,7500.0,10606.77645054332,3106.7764505433206,1.4142368600724426
Gen-III+,6.0,13.0,0.055,5.5%,7500.0,11696.59521320221,4196.59521320221,1.5595460284269613
Gen-III+,6.0,13.0,0.07,7.0%,7500.0,12898.894337781248,5398.894337781248,1.7198525783708332
Gen-III+,6.0,13.0,0.085,8.5%,7500.0,14224.953290562124,6724.953290562124,1.8966604387416164
Gen-III+,6.0,13.0,0.1,10.0%,7500.0,15687.11825648766,8187.11825648766,2.091615767531688
Gen-III+,7.0,14.0,0.04,4.0%,7500.0,10975.164698580127,3475.164698580127,1.463355293144017
Gen-III+,7.0,14.0,0.055,5.5%,7500.0,12198.874289423498,4698.874289423498,1.6265165719231331
Gen-III+,7.0,14.0,0.07,7.0%,7500.0,13561.054083559307,6061.054083559307,1.8081405444745744
Gen-III+,7.0,14.0,0.085,8.5%,7500.0,15077.068535987346,7577.068535987346,2.010275804798313
Gen-III+,7.0,14.0,0.1,10.0%,7500.0,16763.906115408787,9263.906115408787,2.235187482054505
Gen-III+,8.0,15.0,0.04,4.0%,7500.0,11354.979499378287,3854.979499378287,1.5139972665837715
Gen-III+,8.0,15.0,0.055,5.5%,7500.0,12721.88460171891,5221.88460171891,1.696251280229188
Gen-III+,8.0,15.0,0.07,7.0%,7500.0,14257.260590107679,6757.260590107679,1.900968078681024
Gen-III+,8.0,15.0,0.085,8.5%,7500.0,15981.626886655933,8481.626886655933,2.130883584887458
Gen-III+,8.0,15.0,0.1,10.0%,7500.0,17917.90363554323,10417.903635543229,2.3890538180724303
Gen-III+,9.0,16.0,0.04,4.0%,7500.0,11746.580232462991,4246.580232462991,1.5662106976617323
Gen-III+,9.0,16.0,0.055,5.5%,7500.0,13266.50755787943,5766.507557879429,1.768867674383924
Gen-III+,9.0,16.0,0.07,7.0%,7500.0,14989.334855478566,7489.334855478566,1.9985779807304755
Gen-III+,9.0,16.0,0.085,8.5%,7500.0,16942.007014095398,9442.007014095398,2.258934268546053
Gen-III+,9.0,16.0,0.1,10.0%,7500.0,19154.93042865764,11654.93042865764,2.553990723821019
Gen-III+,10.0,17.0,0.04,4.0%,7500.0,12150.337877016966,4650.337877016966,1.6200450502689288
Gen-III+,10.0,17.0,0.055,5.5%,7500.0,13833.663250592605,6333.6632505926045,1.8444884334123473
Gen-III+,10.0,17.0,0.07,7.0%,7500.0,15759.198805775355,8259.198805775355,2.101226507436714
Gen-III+,10.0,17.0,0.085,8.5%,7500.0,17961.813719559137,10461.813719559137,2.3949084959412184
Gen-III+,10.0,17.0,0.1,10.0%,7500.0,20481.26254255942,12981.26254255942,2.730835005674589
SMR,0.0,4.0,0.04,4.0%,9000.0,9740.064022940722,740.0640229407218,1.0822293358823025
SMR,0.0,4.0,0.055,5.5%,9000.0,10028.088903019958,1028.0889030199578,1.1142321003355509
SMR,0.0,4.0,0.07,7.0%,9000.0,10321.949856803249,1321.9498568032486,1.1468833174225832
SMR,0.0,4.0,0.085,8.5%,9000.0,10621.716890864478,1621.716890864478,1.1801907656516086
SMR,0.0,4.0,0.1,10.0%,9000.0,10927.460271703729,1927.4602717037287,1.2141622524115254
SMR,1.0,5.0,0.04,4.0%,9000.0,10084.849802401844,1084.8498024018445,1.1205388669335383
SMR,1.0,5.0,0.055,5.5%,9000.0,10460.277164172678,1460.2771641726777,1.1622530182414086
SMR,1.0,5.0,0.07,7.0%,9000.0,10846.54144756349,1846.5414475634898,1.2051712719514989
SMR,1.0,5.0,0.085,8.5%,9000.0,11243.868955709222,2243.868955709222,1.2493187728565802
SMR,1.0,5.0,0.1,10.0%,9000.0,11652.488824488819,2652.488824488819,1.2947209804987576
SMR,2.0,6.0,0.04,4.0%,9000.0,10440.22966760326,1440.2296676032602,1.1600255186225845
SMR,2.0,6.0,0.055,5.5%,9000.0,10910.012051378098,1910.0120513780985,1.2122235612642331
SMR,2.0,6.0,0.07,7.0%,9000.0,11397.477636381418,2397.477636381418,1.2663864040423798
SMR,2.0,6.0,0.085,8.5%,9000.0,11903.159127276695,2903.1591272766946,1.3225732363640772
SMR,2.0,6.0,0.1,10.0%,9000.0,12427.600880166692,3427.600880166692,1.3808445422407436
SMR,3.0,7.0,0.04,4.0%,9000.0,10806.534025954466,1806.5340259544664,1.2007260028838296
SMR,3.0,7.0,0.055,5.5%,9000.0,11378.029414221659,2378.029414221659,1.2642254904690733
SMR,3.0,7.0,0.07,7.0%,9000.0,11976.140987304147,2976.1409873041466,1.330682331922683
SMR,3.0,7.0,0.085,8.5%,9000.0,12601.923065295337,3601.9230652953374,1.4002136739217041
SMR,3.0,7.0,0.1,10.0%,9000.0,13256.463279387888,4256.463279387888,1.472940364376432
SMR,4.0,8.0,0.04,4.0%,9000.0,11184.103059786215,2184.1030597862155,1.242678117754024
SMR,4.0,8.0,0.055,5.5%,9000.0,11865.095440110184,2865.0954401101844,1.3183439377900206
SMR,4.0,8.0,0.07,7.0%,9000.0,12583.986844455041,3583.986844455041,1.3982207604950045
SMR,4.0,8.0,0.085,8.5%,9000.0,13342.645667885987,4342.645667885987,1.4825161853206652
SMR,4.0,8.0,0.1,10.0%,9000.0,14143.018011402319,5143.018011402319,1.5714464457113688
SMR,5.0,9.0,0.04,4.0%,9000.0,11573.287745961185,2573.2877459611846,1.2859208606623538
SMR,5.0,9.0,0.055,5.5%,9000.0,12372.009359083384,3372.009359083384,1.3746677065648205
SMR,5.0,9.0,0.07,7.0%,9000.0,13222.549665223196,4222.549665223196,1.4691721850247996
SMR,5.0,9.0,0.085,8.5%,9000.0,14127.974566268753,5127.974566268753,1.5697749518076392
SMR,5.0,9.0,0.1,10.0%,9000.0,15091.50880567335,6091.508805673349,1.6768343117414832
SMR,6.0,10.0,0.04,4.0%,9000.0,11974.450333509018,2974.4503335090176,1.330494481501002
SMR,6.0,10.0,0.055,5.5%,9000.0,12899.605161642849,3899.6051616428485,1.433289462404761
SMR,6.0,10.0,0.07,7.0%,9000.0,13893.447885953607,4893.447885953607,1.5437164317726229
SMR,6.0,10.0,0.085,8.5%,9000.0,14960.731806818783,5960.731806818783,1.662303534090976
SMR,6.0,10.0,0.1,10.0%,9000.0,16106.506013262871,7106.506013262871,1.7896117792514301
SMR,7.0,11.0,0.04,4.0%,9000.0,12387.96472593585,3387.96472593585,1.3764405251039833
SMR,7.0,11.0,0.055,5.5%,9000.0,13448.753178163184,4448.753178163184,1.4943059086847983
SMR,7.0,11.0,0.07,7.0%,9000.0,14598.388706890186,5598.388706890186,1.6220431896544651
SMR,7.0,11.0,0.085,8.5%,9000.0,15843.925799051352,6843.925799051352,1.7604361998945948
SMR,7.0,11.0,0.1,10.0%,9000.0,17192.93273943267,8192.932739432668,1.9103258599369632
SMR,8.0,12.0,0.04,4.0%,9000.0,12814.216855655526,3814.216855655526,1.423801872850614
SMR,8.0,12.0,0.055,5.5%,9000.0,14020.36168922481,5020.36168922481,1.5578179654694233
SMR,8.0,12.0,0.07,7.0%,9000.0,15339.173083325626,6339.173083325626,1.7043525648139584
